Date,Open,High,Low,Close,Volume
2013-12-18,13.7876,14.2284,13.5907,13.5907,20897303.896091
2013-12-19,13.5907,14.0105,13.5207,14.0105,2233507.2612778
2013-12-20,14.1254,14.2154,13.9485,14.1504,1025913.9512684
2013-12-23,14.2284,14.3704,14.0175,14.1914,971067.40902913
2013-12-24,14.1914,14.2504,14.0175,14.0425,297182.7253413
2013-12-26,14.0565,14.3074,13.9095,14.2204,579279.52533892
2013-12-27,14.3294,14.8022,14.0425,14.4773,1054644.2357475
2013-12-30,14.4503,14.4773,14.2504,14.3644,343325.84911301
2013-12-31,14.3494,14.8991,14.3494,14.7752,436623.49390594
2014-01-02,14.8252,15.0531,14.3494,14.5093,592279.63142918
2014-01-03,14.4503,14.5803,14.2204,14.3943,416990.78270768
2014-01-06,14.4163,14.4503,14.2444,14.3883,708981.46875629
2014-01-07,14.4093,14.5003,14.3294,14.4163,1191706.069931
2014-01-08,14.4503,14.4503,14.2994,14.3494,693213.27543619
2014-01-09,14.3494,14.4163,14.2444,14.4013,403673.55205946
2014-01-10,14.4163,14.4873,14.3704,14.4093,918115.61099421
2014-01-13,14.3074,14.3883,14.1994,14.3644,546015.46011327
2014-01-14,14.2784,14.6233,14.1994,14.4633,300182.90373027
2014-01-15,14.5093,14.5953,14.2444,14.3704,433689.34145017
2014-01-16,14.3234,14.7322,14.3074,14.5953,388542.60903405
2014-01-17,14.5093,14.7322,14.4093,14.5523,182800.7992126
2014-01-21,14.6642,15.0981,14.6083,14.9901,862723.85460961
2014-01-22,15.0531,15.4479,15.0411,15.285,454602.55559538
2014-01-23,15.293,15.293,14.7382,15.293,214557.27229681
2014-01-24,15.293,15.5369,14.9531,15.364,568985.482117
2014-01-27,15.285,15.4349,15.1121,15.35,691634.65539691
2014-01-28,15.7958,15.7958,15.168,15.7528,462653.71787429
2014-01-29,15.7588,15.7588,15.35,15.5589,107347.16306393
2014-01-30,15.7318,15.8178,15.4069,15.4799,170656.02907518
2014-01-31,15.277,15.6878,15.214,15.364,321009.08369081
2014-02-03,15.4559,15.4559,15.1051,15.1371,322981.85854344
2014-02-04,15.1371,15.221,14.8252,15.1121,433249.16856216
2014-02-05,15.0131,15.191,14.5953,15.1281,503571.78938671
2014-02-06,15.0891,15.214,14.8911,15.214,294386.6271095
2014-02-07,15.248,15.334,15.0351,15.326,180712.97917333
2014-02-10,15.277,15.364,15.148,15.364,164533.6243601
2014-02-11,15.4279,15.6588,15.313,15.6518,217278.34105907
2014-02-12,15.6079,15.8818,15.4279,15.8458,205772.82200219
2014-02-13,15.6289,16.1397,15.6149,15.8868,255055.17877977
2014-02-14,15.9457,15.9457,15.326,15.8178,240116.3111964
2014-02-18,15.8868,15.8868,15.6748,15.8108,255618.39999784
2014-02-19,15.7588,15.9947,15.6449,15.7638,293288.19567532
2014-02-20,15.6748,15.8608,15.5529,15.7788,250052.21375034
2014-02-21,15.8178,16.2806,15.6658,16.0397,422506.94930881
2014-02-24,16.1037,16.1776,15.7448,16.0967,341315.05932914
2014-02-25,16.1656,16.4865,16.0397,16.1567,351917.22357267
2014-02-26,16.3576,16.4505,15.5789,16.1926,789349.03496386
2014-02-27,16.1926,16.4935,15.9187,16.3506,520616.48408205
2014-02-28,16.3506,16.4935,16.0707,16.4565,425890.27818894
2014-03-03,16.5125,16.9663,16.3716,16.4995,602160.51237213
2014-03-04,16.5935,17.5841,16.5935,17.2392,1609563.1929137
2014-03-05,17.2832,17.83,17.2832,17.728,494293.144986
2014-03-06,17.816,18.1819,17.6791,18.1319,488579.90097819
2014-03-07,18.2838,18.5557,17.801,18.3098,678372.44635969
2014-03-10,18.1899,18.9795,17.787,17.838,554276.70490691
2014-03-11,17.931,19.1805,17.2392,17.2392,1706270.1768029
2014-03-12,17.2462,17.6721,16.5495,16.7454,706790.6082455
2014-03-13,16.7804,17.6571,16.7804,17.1603,1151137.1355502
2014-03-14,17.1463,17.83,17.0603,17.3332,788721.78859845
2014-03-17,17.3762,18.2838,17.3762,18.0159,1208723.7540173
2014-03-18,18.0959,18.1539,17.5001,17.5421,761528.10765565
2014-03-19,17.1832,17.1832,16.6724,16.9553,791755.98034695
