Date,Open,High,Low,Close,Volume
1992-06-05,0.9766,1.0115,0.9155,0.9243,89062830
1992-06-08,0.9505,0.9505,0.8981,0.8981,14972569
1992-06-09,0.9243,0.9417,0.8981,0.9155,9577381
1992-06-10,0.8981,0.9155,0.872,0.872,5442902
1992-06-11,0.872,0.8892,0.8543,0.863,5714496
1992-06-12,0.8543,0.8892,0.8543,0.8892,2844403
1992-06-15,0.8543,0.8892,0.8543,0.872,2244325
1992-06-16,0.8892,0.8892,0.8543,0.8543,1565339
1992-06-17,0.8543,0.8892,0.7672,0.7759,19641060
1992-06-18,0.7759,0.7933,0.7672,0.7672,6626539
1992-06-19,0.7672,0.8284,0.7672,0.8022,1523132
1992-06-22,0.8194,0.8458,0.8194,0.8284,2572807
1992-06-23,0.8458,0.872,0.8194,0.872,4134476
1992-06-24,0.8543,0.863,0.7933,0.8284,5178648
1992-06-25,0.8458,0.8543,0.8194,0.8543,1216668
1992-06-26,0.872,0.872,0.8458,0.8543,708349
1992-06-29,0.872,0.9155,0.872,0.8981,2058979
1992-06-30,0.9243,0.9505,0.8981,0.9243,3569266
1992-07-01,0.9243,0.9243,0.8981,0.8981,1457066
1992-07-02,0.8981,0.9155,0.872,0.8806,1269890
1992-07-06,0.872,0.872,0.8284,0.8284,1616720
1992-07-07,0.8284,0.872,0.8284,0.872,1170793
1992-07-08,0.8458,0.872,0.8284,0.8284,3161873
1992-07-09,0.8543,0.9155,0.8458,0.9155,2389302
1992-07-10,0.9155,0.9155,0.8892,0.9155,805609
1992-07-13,0.9155,0.9155,0.8892,0.9155,392714
1992-07-14,0.8892,0.9505,0.8892,0.9505,3574771
1992-07-15,0.9505,0.9505,0.9243,0.9243,1051511
1992-07-16,0.9243,0.9417,0.8981,0.8981,455104
1992-07-17,0.8981,0.9243,0.872,0.9155,750554
1992-07-20,0.8892,0.9155,0.8892,0.8981,488137
1992-07-21,0.9155,0.9155,0.8892,0.8892,378030
1992-07-22,0.9155,0.9155,0.8892,0.9155,989117
1992-07-23,0.9155,0.9678,0.8892,0.9243,2471876
1992-07-24,0.9505,0.9678,0.9243,0.9678,1748848
1992-07-27,0.9678,0.9678,0.9243,0.9505,600076
1992-07-28,0.9243,0.9678,0.9243,0.9505,2978365
1992-07-29,0.9678,0.9678,0.9328,0.9505,1976402
1992-07-30,0.9678,1.0202,0.9417,1.0115,8452464
1992-07-31,1.0115,1.116,1.0115,1.0637,12265800
1992-08-03,1.0899,1.0899,1.0202,1.0462,3563761
1992-08-04,1.0462,1.0637,1.0202,1.0462,1697467
1992-08-05,1.0462,1.0725,1.0462,1.0462,811115
1992-08-06,1.0374,1.0637,1.0374,1.0374,541354
1992-08-07,1.0637,1.0725,1.0374,1.0462,822124
1992-08-10,1.0462,1.0725,1.0462,1.0549,240397
1992-08-11,1.0725,1.0725,1.0462,1.0725,3527061
1992-08-12,1.1072,1.1072,1.0725,1.0985,6187953
1992-08-13,1.1336,1.1336,1.0725,1.0725,1253372
1992-08-14,1.0725,1.1072,1.0725,1.1072,3136184
1992-08-17,1.116,1.116,1.0899,1.1072,1747016
1992-08-18,1.116,1.1336,1.0899,1.1336,2253501
1992-08-19,1.1336,1.2119,1.116,1.1595,4103281
1992-08-20,1.1857,1.1857,1.1509,1.1857,6219150
1992-08-21,1.1857,1.1857,1.1247,1.1595,11595987
1992-08-24,1.1595,1.1595,1.0899,1.116,917551
1992-08-25,1.116,1.116,1.0725,1.0899,3205920
1992-08-26,1.0899,1.142,1.0725,1.1336,3521552
1992-08-27,1.116,1.1595,1.116,1.1595,378030
1992-08-28,1.1336,1.1595,1.1336,1.1595,712020
1992-08-31,1.142,1.1595,1.1336,1.1336,203696
1992-09-01,1.1595,1.1595,1.1336,1.1595,1284569
1992-09-02,1.1595,1.2991,1.1336,1.238,4655646
1992-09-03,1.2293,1.2641,1.2293,1.238,1537812
1992-09-04,1.2641,1.2641,1.2293,1.2556,750554
1992-09-08,1.2556,1.2641,1.2293,1.2293,1255209
1992-09-09,1.2293,1.2556,1.2119,1.238,789091
1992-09-10,1.238,1.2817,1.238,1.2641,897360
1992-09-11,1.2817,1.3339,1.2641,1.3079,1923182
1992-09-14,1.3079,1.3253,1.2817,1.3253,1523132
1992-09-15,1.3253,1.3253,1.2817,1.2817,1838769
1992-09-16,1.3079,1.3339,1.2817,1.3079,963430
1992-09-17,1.3339,1.3775,1.3079,1.3513,2394805
1992-09-18,1.3339,1.3602,1.3339,1.3339,3492192
1992-09-21,1.3602,1.3602,1.3253,1.3253,1723158
1992-09-22,1.3253,1.3602,1.1595,1.2032,4501496
1992-09-23,1.2032,1.2817,1.1683,1.2817,4178518
1992-09-24,1.2817,1.3513,1.2556,1.3253,2936157
1992-09-25,1.2556,1.2817,1.2119,1.2556,3681208
1992-09-28,1.2119,1.2817,1.2119,1.2817,845983
1992-09-29,1.2641,1.2729,1.2641,1.2729,220211
1992-09-30,1.2817,1.2817,1.2556,1.2817,390875
1992-10-01,1.2556,1.3253,1.2556,1.2903,3185730
1992-10-02,1.3253,1.3253,1.2556,1.2556,888190
1992-10-05,1.2556,1.2641,1.1595,1.2119,1609382
1992-10-06,1.2119,1.2119,1.1857,1.2032,834970
1992-10-07,1.1857,1.2119,1.1857,1.2032,800104
1992-10-08,1.2119,1.2817,1.2119,1.2641,1880974
1992-10-09,1.2556,1.3079,1.2556,1.3079,1132256
1992-10-12,1.2903,1.2903,1.2556,1.2641,785421
1992-10-13,1.2556,1.2903,1.2556,1.2556,794599
1992-10-14,1.2556,1.3079,1.2556,1.3079,1143266
1992-10-15,1.2817,1.3079,1.2817,1.3079,1104730
1992-10-16,1.2817,1.3079,1.2817,1.3079,295450
1992-10-19,1.2817,1.3602,1.2817,1.3602,2558127
1992-10-20,1.3775,1.4038,1.3602,1.3602,814784
1992-10-21,1.3602,1.4299,1.3602,1.4038,1660763
1992-10-22,1.4472,1.4472,1.4038,1.4038,2081001
1992-10-23,1.4038,1.4472,1.4038,1.4472,1201990
1992-10-26,1.4472,1.4472,1.3862,1.4299,534012
1992-10-27,1.3862,1.4299,1.3862,1.3862,1517626
1992-10-28,1.4299,1.4299,1.4038,1.4038,2081001
1992-10-29,1.4472,1.4472,1.3862,1.3862,834970
1992-10-30,1.3775,1.4038,1.3775,1.4038,396379
1992-11-02,1.4038,1.4038,1.3513,1.3862,682654
1992-11-03,1.3862,1.3862,1.3602,1.3688,1508450
1992-11-04,1.3862,1.3862,1.3602,1.3862,932230
1992-11-05,1.3602,1.3862,1.3602,1.3862,941405
1992-11-06,1.3775,1.4561,1.3775,1.4561,2640707
1992-11-09,1.4561,1.4561,1.4299,1.4561,1897490
1992-11-10,1.4735,1.5258,1.4561,1.5258,4831815
1992-11-11,1.5432,1.5432,1.4821,1.5432,2262675
1992-11-12,1.5258,1.5345,1.4996,1.4996,2715946
1992-11-13,1.5432,1.5955,1.4996,1.5692,2380123
