Date,Open,High,Low,Close,Volume
2005-02-25,1.56202,1.62432,1.56202,1.61932,2373972
2005-02-28,1.61592,1.64795,1.61592,1.63445,1607596
2005-03-01,1.64962,1.7253,1.63275,1.7051,4726568
2005-03-02,1.7051,1.71355,1.69,1.70685,3920992
2005-03-03,1.72362,1.7253,1.68828,1.71355,3622752
2005-03-04,1.71522,1.74218,1.7085,1.74218,2688864
2005-03-07,1.74712,1.77245,1.7288,1.75065,2004456
2005-03-08,1.75065,1.75065,1.7288,1.7288,1499468
2005-03-09,1.7288,1.7288,1.7001,1.7051,3373224
2005-03-10,1.7085,1.71188,1.6967,1.7085,2234968
2005-03-11,1.71355,1.7186,1.70172,1.70685,4497232
2005-03-14,1.6799,1.69165,1.64962,1.65465,8414660
2005-03-15,1.65298,1.79092,1.64962,1.78418,9759696
2005-03-16,1.78418,1.78418,1.74218,1.75065,2251588
2005-03-17,1.74218,1.7793,1.74218,1.77078,4353468
2005-03-18,1.78758,1.7977,1.76062,1.7691,2665076
2005-03-21,1.7691,1.7691,1.7186,1.73375,3229456
2005-03-22,1.68328,1.7085,1.63275,1.64115,13232736
2005-03-23,1.75578,1.88352,1.75392,1.84665,25927224
2005-03-24,1.86818,1.93045,1.82978,1.89875,10050792
2005-03-28,1.9408,1.98765,1.93752,1.97095,12630332
2005-03-29,1.93932,1.97282,1.89875,1.90058,5732960
2005-03-30,1.8938,1.91762,1.87362,1.91208,3261552
2005-03-31,1.90522,1.91402,1.8547,1.86508,2851612
2005-04-01,1.88668,1.8938,1.81448,1.83148,3475416
2005-04-04,1.8397,1.8397,1.8028,1.83295,4076628
2005-04-05,1.84315,1.85978,1.83148,1.85978,4326148
2005-04-06,1.85978,1.88512,1.84492,1.84492,2884876
2005-04-07,1.83602,1.85648,1.80622,1.85015,3527688
2005-04-08,1.85648,1.87362,1.83295,1.83295,3107080
2005-04-11,1.8397,1.8397,1.7977,1.8109,2941932
2005-04-12,1.81448,1.858,1.7977,1.84665,3685732
2005-04-13,1.84315,1.84838,1.8109,1.8109,1664660
2005-04-14,1.81282,1.82822,1.74552,1.76062,2227828
2005-04-15,1.76062,1.84315,1.76062,1.81798,7307276
2005-04-18,1.76062,2.16278,1.75065,1.99655,92591092
2005-04-19,2.03982,2.03982,1.98765,2.02822,13484628
2005-04-20,2.02007,2.03982,1.95095,1.97095,10143472
2005-04-21,1.98478,2.02007,1.98272,2.01315,10315752
2005-04-22,1.99972,2.00835,1.9792,1.9897,15516416
2005-04-25,1.99135,2.05328,1.9897,2.05028,11939996
2005-04-26,2.0518,2.08202,2.02512,2.0689,9535116
2005-04-27,2.0518,2.0655,2.02175,2.05863,9549372
2005-04-28,2.055,2.09752,2.05028,2.0655,10897968
2005-04-29,2.0689,2.09405,2.04535,2.07063,5364620
2005-05-02,2.07857,2.17462,2.07255,2.15808,7410664
2005-05-03,2.15115,2.18618,2.12245,2.146,10497540
2005-05-04,2.13615,2.1818,2.10238,2.11612,6051380
2005-05-05,2.12115,2.205,2.11438,2.17175,6750036
2005-05-06,2.15808,2.1919,2.1431,2.1733,4175256
2005-05-09,2.16815,2.1834,2.146,2.16815,3793844
2005-05-10,2.16992,2.17462,2.146,2.15985,6682316
2005-05-11,2.16278,2.17175,2.13435,2.16635,4311900
2005-05-12,2.16815,2.19512,2.15115,2.17175,8349320
2005-05-13,2.16635,2.17175,2.12115,2.14445,8361196
2005-05-16,2.15808,2.1733,2.1377,2.16145,3255604
2005-05-17,2.16635,2.21718,2.14445,2.205,6608648
2005-05-18,2.2135,2.2925,2.2066,2.2878,8566752
2005-05-19,2.32292,2.44775,2.30625,2.35848,7695816
2005-05-20,2.36477,2.36863,2.32292,2.35848,5549972
2005-05-23,2.37322,2.44575,2.37322,2.402,13719880
2005-05-24,2.492,2.61925,2.46275,2.50475,29425200
2005-05-25,2.5085,2.5085,2.38225,2.40575,10363292
2005-05-26,2.4085,2.48425,2.39025,2.47975,8692704
2005-05-27,2.525,2.5285,2.48275,2.51475,7561560
2005-05-31,2.5195,2.53,2.454,2.454,6870028
2005-06-01,2.4575,2.55025,2.43075,2.5285,13861272
2005-06-02,2.53,2.56175,2.5285,2.53325,7510468
2005-06-03,2.54525,2.65725,2.54525,2.61525,16207936
2005-06-06,2.62575,2.752,2.58525,2.7385,17760868
2005-06-07,2.78075,2.786,2.671,2.6965,15544916
2005-06-08,2.73575,2.73575,2.61275,2.62575,14982908
2005-06-09,2.6965,2.725,2.6345,2.71675,19379168
2005-06-10,2.75725,2.77425,2.73575,2.75875,7863360
2005-06-13,2.76225,2.76225,2.73575,2.74375,7547288
2005-06-14,2.752,2.771,2.648,2.725,12119408
2005-06-15,2.725,2.8245,2.71325,2.821,8880436
2005-06-16,2.84275,2.88725,2.74375,2.777,7985748
2005-06-17,2.78425,2.81925,2.77425,2.78425,8207920
2005-06-20,2.78425,2.786,2.6965,2.72675,6580132
2005-06-21,2.723,2.74675,2.68775,2.6965,4897656
2005-06-22,2.6965,2.7385,2.67625,2.73575,7626912
2005-06-23,2.7385,2.77425,2.72875,2.73575,7110044
2005-06-24,2.74375,2.74375,2.70175,2.70175,7647116
2005-06-27,2.71,2.71,2.65625,2.65725,3620376
2005-06-28,2.69325,2.7385,2.68525,2.72875,7364336
2005-06-29,2.73725,2.74175,2.71875,2.73175,5784044
2005-06-30,2.73575,2.7905,2.73575,2.75375,5395520
2005-07-01,2.75375,2.777,2.73575,2.76225,3920992
2005-07-05,2.71325,2.786,2.68975,2.786,8873308
2005-07-06,2.797,2.86175,2.79625,2.83125,6748852
2005-07-07,2.8275,2.88175,2.78075,2.87975,5370564
2005-07-08,2.90025,2.964,2.8985,2.95925,7107676
2005-07-11,2.9995,3.00125,2.964,2.98425,7195600
2005-07-12,3.0125,3.04475,2.99075,3.0045,7167080
2005-07-13,3.01975,3.02825,2.94575,2.98625,9141832
2005-07-14,2.988,3.02375,2.973,2.976,6027620
2005-07-15,2.9795,2.99075,2.937,2.96075,4806164
2005-07-18,2.96075,2.964,2.90825,2.94375,7056576
2005-07-19,2.954,2.964,2.939,2.94375,7846728
2005-07-20,2.94575,2.97775,2.94575,2.96925,3160552
2005-07-21,2.96925,2.98625,2.929,2.94775,2977572
2005-07-22,2.94225,2.94575,2.88175,2.8985,4841820
2005-07-25,2.89525,2.917,2.873,2.877,3093996
2005-07-26,2.83125,2.88525,2.76225,2.8645,14871212
2005-07-27,2.904,2.94375,2.89525,2.94225,7863360
2005-07-28,2.94225,2.988,2.94225,2.976,5963468
2005-07-29,2.98125,2.99075,2.88175,2.89125,6013360
2005-08-01,2.907,2.912,2.8645,2.86975,5974164
2005-08-02,2.87825,2.929,2.873,2.92125,4818052
2005-08-03,2.92125,2.92125,2.87975,2.88825,3742760
2005-08-04,2.88825,2.88825,2.8145,2.816,4057624
2005-08-05,2.8075,2.81925,2.66775,2.71,13043808
2005-08-08,2.71325,2.74675,2.70175,2.712,3866328
2005-08-09,2.71675,2.78875,2.71675,2.76875,11023916
2005-08-10,2.777,2.81925,2.75725,2.77225,7938200
2005-08-11,2.77225,2.77425,2.73025,2.73575,5779284
2005-08-12,2.73375,2.73375,2.5895,2.64275,14659740
2005-08-15,2.67625,2.68775,2.6355,2.65625,10047232
2005-08-16,2.651,2.651,2.50625,2.5315,13274320
2005-08-17,2.46625,2.50475,2.4085,2.478,18612784
2005-08-18,2.45225,2.74175,2.40725,2.72175,44788356
2005-08-19,2.72675,2.81925,2.66475,2.77575,14315168
2005-08-22,2.86,2.88375,2.82275,2.88175,14286644
2005-08-23,2.915,2.958,2.89525,2.9355,17028952
2005-08-24,2.929,2.9355,2.88175,2.904,9886816
2005-08-25,2.904,2.9325,2.89125,2.90025,6371004
